AXIS_ID,CODE,ORIENTATION,ORDER,NAME,DESCRIPTION,TABLE_ID,IS_OPEN_AXIS
EBA_FINREP_EBA_F_04_02_1_FINREP_2017-A_2,,X,,EBA_FINREP_EBA_F_04.02.1_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_04_02_1_FINREP_2017-A_3,,Y,,EBA_FINREP_EBA_F_04.02.1_FINREP_2017-A_3,,,
EBA_FINREP_EBA_F_04_02_1_FINREP_3_0-Ind_2,,X,,EBA_FINREP_EBA_F_04.02.1_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_04_02_1_FINREP_3_0-Ind_3,,Y,,EBA_FINREP_EBA_F_04.02.1_FINREP_3.0-Ind_3,,,
EBA_FINREP_EBA_F_04_02_2_FINREP_2017-A_2,,X,,EBA_FINREP_EBA_F_04.02.2_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_04_02_2_FINREP_2017-A_3,,Y,,EBA_FINREP_EBA_F_04.02.2_FINREP_2017-A_3,,,
EBA_FINREP_EBA_F_04_02_2_FINREP_3_0-Ind_2,,X,,EBA_FINREP_EBA_F_04.02.2_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_04_02_2_FINREP_3_0-Ind_3,,Y,,EBA_FINREP_EBA_F_04.02.2_FINREP_3.0-Ind_3,,,
EBA_FINREP_EBA_F_04_02_FINREP_1,,X,,EBA_FINREP_EBA_F_04.02_FINREP_1,,,
EBA_FINREP_EBA_F_04_02_FINREP_2,,Y,,EBA_FINREP_EBA_F_04.02_FINREP_2,,,
EBA_FINREP_EBA_F_04_03_1_FINREP_2017-A_2,,X,,EBA_FINREP_EBA_F_04.03.1_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_04_03_1_FINREP_2017-A_3,,Y,,EBA_FINREP_EBA_F_04.03.1_FINREP_2017-A_3,,,
EBA_FINREP_EBA_F_04_03_1_FINREP_2_9_2,,X,,EBA_FINREP_EBA_F_04.03.1_FINREP_2.9_2,,,
EBA_FINREP_EBA_F_04_03_1_FINREP_2_9_3,,Y,,EBA_FINREP_EBA_F_04.03.1_FINREP_2.9_3,,,
EBA_FINREP_EBA_F_04_03_1_FINREP_3_0-Ind_2,,X,,EBA_FINREP_EBA_F_04.03.1_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_04_03_1_FINREP_3_0-Ind_3,,Y,,EBA_FINREP_EBA_F_04.03.1_FINREP_3.0-Ind_3,,,
EBA_FINREP_EBA_F_04_03_FINREP_1,,X,,EBA_FINREP_EBA_F_04.03_FINREP_1,,,
EBA_FINREP_EBA_F_04_03_FINREP_2,,Y,,EBA_FINREP_EBA_F_04.03_FINREP_2,,,
EBA_FINREP_EBA_F_04_04_1_FINREP_2017-A_2,,X,,EBA_FINREP_EBA_F_04.04.1_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_04_04_1_FINREP_2017-A_3,,Y,,EBA_FINREP_EBA_F_04.04.1_FINREP_2017-A_3,,,
EBA_FINREP_EBA_F_04_04_1_FINREP_2_9_2,,X,,EBA_FINREP_EBA_F_04.04.1_FINREP_2.9_2,,,
EBA_FINREP_EBA_F_04_04_1_FINREP_2_9_3,,Y,,EBA_FINREP_EBA_F_04.04.1_FINREP_2.9_3,,,
EBA_FINREP_EBA_F_04_04_1_FINREP_3_0-Ind_2,,X,,EBA_FINREP_EBA_F_04.04.1_FINREP_3.0-Ind_2,,,
EBA_FINREP_EBA_F_04_04_1_FINREP_3_0-Ind_3,,Y,,EBA_FINREP_EBA_F_04.04.1_FINREP_3.0-Ind_3,,,
EBA_FINREP_EBA_F_04_04_FINREP_2015-A_1,,X,,EBA_FINREP_EBA_F_04.04_FINREP_2015-A_1,,,
EBA_FINREP_EBA_F_04_04_FINREP_2015-A_2,,Y,,EBA_FINREP_EBA_F_04.04_FINREP_2015-A_2,,,
EBA_FINREP_EBA_F_04_05_FINREP_1,,X,,EBA_FINREP_EBA_F_04.05_FINREP_1,,,
EBA_FINREP_EBA_F_04_05_FINREP_2,,Y,,EBA_FINREP_EBA_F_04.05_FINREP_2,,,
EBA_FINREP_EBA_F_04_05_FINREP_2017-A_1,,X,,EBA_FINREP_EBA_F_04.05_FINREP_2017-A_1,,,
EBA_FINREP_EBA_F_04_05_FINREP_2017-A_2,,Y,,EBA_FINREP_EBA_F_04.05_FINREP_2017-A_2,,,
EBA_FINREP_EBA_F_04_05_FINREP_3_0-Ind_1,,X,,EBA_FINREP_EBA_F_04.05_FINREP_3.0-Ind_1,,,
EBA_FINREP_EBA_F_04_05_FINREP_3_0-Ind_2,,Y,,EBA_FINREP_EBA_F_04.05_FINREP_3.0-Ind_2,,,
