TABLE_ID,NAME,CODE,DESCRIPTION,MAINTENANCE_AGENCY_ID,VERSION,VALID_FROM,VALID_TO
EBA_FINREP_EBA_F_04_03_1_FINREP_3_0-Ind,F 04.03.1,F_04.03.1,F 04.03.1 Breakdown of financial assets by instrument and by counterparty sector: financial assets at fair value through other comprehensive income,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_03_FINREP,F 04.03,F_04.03,F 04.03 Breakdown of financial assets by instrument and by counterparty sector: available-for-sale financial assets,EBA,FINREP,,
EBA_FINREP_EBA_F_04_04_1_FINREP_2017-A,F 04.04.1,F_04.04.1,F 04.04.1 Breakdown of financial assets by instrument and by counterparty sector: financial assets at amortised cost,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_04_1_FINREP_2_9,F 04.04.1,F_04.04.1,F 04.04.1 Breakdown of financial assets by instrument and by counterparty sector: financial assets at amortised cost,EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_04_04_1_FINREP_3_0-Ind,F 04.04.1,F_04.04.1,F 04.04.1 Breakdown of financial assets by instrument and by counterparty sector: financial assets at amortised cost,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_04_FINREP_2015-A,F 04.04,F_04.04,F 04.04 Breakdown of financial assets by instrument and by counterparty sector: loans and receivables and held-to-maturity investments,EBA,FINREP 2015-A,,
EBA_FINREP_EBA_F_04_05_FINREP,F 04.05,F_04.05,F 04.05 Subordinated financial assets,EBA,FINREP,,
EBA_FINREP_EBA_F_04_05_FINREP_2017-A,F 04.05,F_04.05,F 04.05 Subordinated financial assets,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_05_FINREP_3_0-Ind,F 04.05,F_04.05,F 04.05 Subordinated financial assets,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_06_FINREP,F 04.06,F_04.06,F 04.06 Breakdown of financial assets by instrument and by counterparty sector: trading financial assets,EBA,FINREP,,
EBA_FINREP_EBA_F_04_06_FINREP_2017-A,F 04.06,F_04.06,F 04.06 Breakdown of financial assets by instrument and by counterparty sector: trading financial assets,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_06_FINREP_3_0-Ind,F 04.06,F_04.06,F 04.06 Breakdown of financial assets by instrument and by counterparty sector: trading financial assets,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_07_FINREP,F 04.07,F_04.07,F 04.07 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value through profit or loss,EBA,FINREP,,
EBA_FINREP_EBA_F_04_07_FINREP_2017-A,F 04.07,F_04.07,F 04.07 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value through profit or loss,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_07_FINREP_3_0-Ind,F 04.07,F_04.07,F 04.07 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value through profit or loss,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_08_FINREP,F 04.08,F_04.08,F 04.08 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value to equity,EBA,FINREP,,
EBA_FINREP_EBA_F_04_08_FINREP_2017-A,F 04.08,F_04.08,F 04.08 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value to equity,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_08_FINREP_2_9,F 04.08,F_04.08,F 04.08 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value to equity,EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_04_08_FINREP_3_0-Ind,F 04.08,F_04.08,F 04.08 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at fair value to equity,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_09_FINREP_2016-A,F 04.09,F_04.09,F 04.09 Breakdown of financial assets by instrument and by counterparty sector: non-trading debt instruments measured at a cost-based method,EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_04_09_FINREP_2017-A,F 04.09,F_04.09,F 04.09 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at a cost-based method,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_09_FINREP_2_9,F 04.09,F_04.09,F 04.09 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at a cost-based method,EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_04_09_FINREP_3_0-Ind,F 04.09,F_04.09,F 04.09 Breakdown of financial assets by instrument and by counterparty sector: non-trading non-derivative financial assets measured at a cost-based method,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_04_10_FINREP,F 04.10,F_04.10,F 04.10 Breakdown of financial assets by instrument and by counterparty sector: other non-trading non-derivative financial assets,EBA,FINREP,,
EBA_FINREP_EBA_F_04_10_FINREP_2017-A,F 04.10,F_04.10,F 04.10 Breakdown of financial assets by instrument and by counterparty sector: other non-trading non-derivative financial assets,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_04_10_FINREP_2_9,F 04.10,F_04.10,F 04.10 Breakdown of financial assets by instrument and by counterparty sector: other non-trading non-derivative financial assets,EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_04_10_FINREP_3_0-Ind,F 04.10,F_04.10,F 04.10 Breakdown of financial assets by instrument and by counterparty sector: other non-trading non-derivative financial assets,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_05_00_FINREP_2015-A,F 05.00,F_05.00,F 05.00 Breakdown of loans and advances by product,EBA,FINREP 2015-A,,
EBA_FINREP_EBA_F_05_01_FINREP_2017-A,F 05.01,F_05.01,F 05.01 Breakdown of non-trading loans and advances by product: Loan and advances other than held for trading by product,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_05_01_FINREP_2_8,F 05.01,F_05.01,F 05.01 Breakdown of non-trading loans and advances by product: Loan and advances other than held for trading by product,EBA,FINREP 2.8,,
EBA_FINREP_EBA_F_05_01_FINREP_3_0-Ind,F 05.01,F_05.01,"F 05.01 Breakdown of non-trading loans and advances by product: Loans and advances other than held for trading, trading or held for sale assets by product",EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_06_00_FINREP_2016-A,F 06.00,F_06.00,F 06.00 Breakdown of loans and advances to non-financial corporations by NACE codes,EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_06_01_FINREP_2017-A,F 06.01,F_06.01,F 06.01 Breakdown of non-trading loans and advances to non-financial corporations by NACE codes,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_06_01_FINREP_2_9,F 06.01,F_06.01,F 06.01 Breakdown of non-trading loans and advances other than held for trading to non-financial corporations by NACE codes,EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_06_01_FINREP_3_0-Ind,F 06.01,F_06.01,"F 06.01 Breakdown of loans and advances other than held for trading, trading or held for sale assets to non-financial corporations by NACE codes",EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_07_00_FINREP_2015-A,F 07.00,F_07.00,F 07.00 Financial assets subject to impairment that are past due or impaired,EBA,FINREP 2015-A,,
EBA_FINREP_EBA_F_07_01_FINREP_2017-A,F 07.01,F_07.01,F 07.01 Financial assets subject to impairment that are past due,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_07_01_FINREP_2_8,F 07.01,F_07.01,F 07.01 Financial assets subject to impairment that are past due,EBA,FINREP 2.8,,
EBA_FINREP_EBA_F_07_01_FINREP_3_0-Ind,F 07.01,F_07.01,F 07.01 Financial assets subject to impairment that are past due,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_07_02_FINREP_2017-A,F 07.02,F_07.02,F 07.02 Financial assets subject to impairment that are past due under national GAAP,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_07_02_FINREP_2_8,F 07.02,F_07.02,F 07.02 Financial assets subject to impairment that are past due under national GAAP,EBA,FINREP 2.8,,
EBA_FINREP_EBA_F_07_02_FINREP_3_0-Ind,F 07.02,F_07.02,F 07.02 Financial assets subject to impairment that are past due under national GAAP,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_08_01_a_FINREP_2014-03,F 08.01.a,F_08.01.a,F 08.01.a Breakdown of financial liabilities by product and by counterparty (a),EBA,FINREP 2014-03,,
EBA_FINREP_EBA_F_08_01_a_FINREP_2017-A,F 08.01.a,F_08.01.a,F 08.01.a Breakdown of financial liabilities by product and by counterparty (a),EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_08_01_a_FINREP_2_9,F 08.01.a,F_08.01.a,F 08.01.a Breakdown of financial liabilities by product and by counterparty (a),EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_08_01_a_FINREP_3_0-Ind,F 08.01.a,F_08.01.a,F 08.01.a Breakdown of financial liabilities by product and by counterparty (a),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_08_01_b_FINREP_2014-03,F 08.01.b,F_08.01.b,F 08.01.b Breakdown of financial liabilities by product and by counterparty (b),EBA,FINREP 2014-03,,
EBA_FINREP_EBA_F_08_01_b_FINREP_2017-A,F 08.01.b,F_08.01.b,F 08.01.b Breakdown of financial liabilities by product and by counterparty (b),EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_08_01_b_FINREP_3_0-Ind,F 08.01.b,F_08.01.b,F 08.01.b Breakdown of financial liabilities by product and by counterparty (b),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_08_02_FINREP,F 08.02,F_08.02,F 08.02 Subordinated liabilities,EBA,FINREP,,
EBA_FINREP_EBA_F_08_02_FINREP_2017-A,F 08.02,F_08.02,F 08.02 Subordinated liabilities,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_08_02_FINREP_2_8,F 08.02,F_08.02,F 08.02 Subordinated liabilities,EBA,FINREP 2.8,,
EBA_FINREP_EBA_F_08_02_FINREP_3_0-Ind,F 08.02,F_08.02,F 08.02 Subordinated liabilities,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_09_01_1_FINREP_2017-A,F 09.01.1,F_09.01.1,"F 09.01.1 Off-balance sheet exposures : Loan commitments, financial guarantees and other commitments given",EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_09_01_1_FINREP_3_0-Ind,F 09.01.1,F_09.01.1,"F 09.01.1 Off-balance sheet exposures : Loan commitments, financial guarantees and other commitments given",EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_09_01_FINREP_2015-A,F 09.01,F_09.01,"F 09.01 Off-balance sheet items subject to credit risk: Loan commitments, financial guarantees and other commitments given",EBA,FINREP 2015-A,,
EBA_FINREP_EBA_F_09_01_FINREP_2017-A,F 09.01,F_09.01,"F 09.01 Off-balance sheet exposures under national GAAP: Loan commitments, financial guarantees and other commitments given",EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_09_01_FINREP_3_0-Ind,F 09.01,F_09.01,"F 09.01 Off-balance sheet exposures under national GAAP: Loan commitments, financial guarantees and other commitments given",EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_09_02_FINREP,F 09.02,F_09.02,"F 09.02 Loan commitments, financial guarantees and other commitments received",EBA,FINREP,,
EBA_FINREP_EBA_F_09_02_FINREP_2017-A,F 09.02,F_09.02,"F 09.02 Loan commitments, financial guarantees and other commitments received",EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_09_02_FINREP_3_0-Ind,F 09.02,F_09.02,"F 09.02 Loan commitments, financial guarantees and other commitments received",EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_10_00_FINREP_2016-A,F 10.00,F_10.00,F 10.00 Derivatives: Trading,EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_10_00_FINREP_2017-A,F 10.00,F_10.00,F 10.00 Derivatives: Trading and economic hedges,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_10_00_FINREP_3_0-Ind,F 10.00,F_10.00,F 10.00 Derivatives: Trading and economic hedges,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_11_01_FINREP,F 11.01,F_11.01,F 11.01 Derivatives - Hedge accounting: Breakdown by type of risk and type of hedge,EBA,FINREP,,
EBA_FINREP_EBA_F_11_01_FINREP_2017-A,F 11.01,F_11.01,F 11.01 Derivatives - Hedge accounting: Breakdown by type of risk and type of hedge,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_11_01_FINREP_3_0-Ind,F 11.01,F_11.01,F 11.01 Derivatives - Hedge accounting: Breakdown by type of risk and type of hedge,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_11_02_FINREP_2016-A,F 11.02,F_11.02,F 11.02 Derivatives - Hedge accounting under National GAAP: Breakdown by type of risk,EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_11_02_FINREP_2017-A,F 11.02,F_11.02,F 11.02 Derivatives - Hedge accounting under National GAAP: Breakdown by type of risk,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_11_02_FINREP_3_0-Ind,F 11.02,F_11.02,F 11.02 Derivatives - Hedge accounting under National GAAP: Breakdown by type of risk,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_11_03_1_FINREP_2017-A,F 11.03.1,F_11.03.1,F 11.03.1 Non-derivative hedging instruments under national GAAP: breakdown by accounting portfolio,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_11_03_1_FINREP_3_0-Ind,F 11.03.1,F_11.03.1,F 11.03.1 Non-derivative hedging instruments under national GAAP: breakdown by accounting portfolio,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_11_03_FINREP_2017-A,F 11.03,F_11.03,F 11.03 Non-derivative hedging instruments: Breakdown by accounting portfolio and type of hedge,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_11_03_FINREP_3_0-Ind,F 11.03,F_11.03,F 11.03 Non-derivative hedging instruments: Breakdown by accounting portfolio and type of hedge,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_11_04_FINREP_2017-A,F 11.04,F_11.04,F 11.04 Hedged items in fair value hedges,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_11_04_FINREP_3_0-Ind,F 11.04,F_11.04,F 11.04 Hedged items in fair value hedges,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_12_00_FINREP_2015-A,F 12.00,F_12.00,F 12.00 Movements in allowances for credit losses and impairment of equity instruments,EBA,FINREP 2015-A,,
EBA_FINREP_EBA_F_12_00_FINREP_2017-A,F 12.00,F_12.00,F 12.00 Movements in allowances for credit losses and impairment of equity instruments under national GAAP,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_12_00_FINREP_3_0-Ind,F 12.00,F_12.00,F 12.00 Movements in allowances for credit losses and impairment of equity instruments under national GAAP,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_12_01_a_FINREP_2017-A,F 12.01.a,F_12.01.a,F 12.01.a Movements in allowances and provisions for credit losses (I),EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_12_01_a_FINREP_2_8,F 12.01.a,F_12.01.a,F 12.01.a Movements in allowances and provisions for credit losses (I),EBA,FINREP 2.8,,
EBA_FINREP_EBA_F_12_01_a_FINREP_2_9,F 12.01.a,F_12.01.a,F 12.01.a Movements in allowances and provisions for credit losses (I),EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_12_01_a_FINREP_3_0-Ind,F 12.01.a,F_12.01.a,F 12.01.a Movements in allowances and provisions for credit losses (I),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_12_01_b_FINREP_2017-A,F 12.01.b,F_12.01.b,F 12.01.b Movements in allowances and provisions for credit losses (II),EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_12_01_b_FINREP_2_8,F 12.01.b,F_12.01.b,F 12.01.b Movements in allowances and provisions for credit losses (II),EBA,FINREP 2.8,,
EBA_FINREP_EBA_F_12_01_b_FINREP_3_0-Ind,F 12.01.b,F_12.01.b,F 12.01.b Movements in allowances and provisions for credit losses (II),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_12_02_FINREP_2017-A,F 12.02,F_12.02,F 12.02 Transfers between impairment stages (gross basis presentation),EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_12_02_FINREP_3_0-Ind,F 12.02,F_12.02,F 12.02 Transfers between impairment stages (gross basis presentation),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_13_01_FINREP_2015-A,F 13.01,F_13.01,F 13.01 Breakdown of loans and advances by collateral and guarantees,EBA,FINREP 2015-A,,
EBA_FINREP_EBA_F_13_01_FINREP_2017-A,F 13.01,F_13.01,F 13.01 Breakdown of collateral and guarantees by loans and advances other than held for trading,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_13_01_FINREP_2_9,F 13.01,F_13.01,F 13.01 Breakdown of collateral and guarantees by loans and advances other than held for trading,EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_13_01_FINREP_3_0-Ind,F 13.01,F_13.01,F 13.01 Breakdown of collateral and guarantees by loans and advances other than held for trading,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_13_02_1_a_FINREP_2_9,F 13.02.1.a,F_13.02.1.a,F 13.02.1.a Collateral obtained by taking possession during the period (held at the reference date) (I),EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_13_02_1_a_FINREP_3_0-Ind,F 13.02.1.a,F_13.02.1.a,F 13.02.1.a Collateral obtained by taking possession during the period (held at the reference date) (I),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_13_02_1_b_FINREP_2_9,F 13.02.1.b,F_13.02.1.b,F 13.02.1.b Collateral obtained by taking possession during the period (held at the reference date) (II),EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_13_02_1_b_FINREP_3_0-Ind,F 13.02.1.b,F_13.02.1.b,F 13.02.1.b Collateral obtained by taking possession during the period (held at the reference date) (II),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_13_02_FINREP_2016-A,F 13.02,F_13.02,F 13.02 Collateral obtained by taking possession during the period (held at the reporting date),EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_13_02_FINREP_2017-A,F 13.02,F_13.02,F 13.02 Collateral obtained by taking possession during the period (held at the reporting date),EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_13_03_1_a_FINREP_2_9,F 13.03.1.a,F_13.03.1.a,F 13.03.1.a Collateral obtained by taking possession accumulated (I),EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_13_03_1_a_FINREP_3_0-Ind,F 13.03.1.a,F_13.03.1.a,F 13.03.1.a Collateral obtained by taking possession accumulated (I),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_13_03_1_b_FINREP_2_9,F 13.03.1.b,F_13.03.1.b,F 13.03.1.b Collateral obtained by taking possession accumulated (II),EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_13_03_1_b_FINREP_3_0-Ind,F 13.03.1.b,F_13.03.1.b,F 13.03.1.b Collateral obtained by taking possession accumulated (II),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_13_03_FINREP,F 13.03,F_13.03,F 13.03 Collateral obtained by taking possession [tangible assets] accumulated,EBA,FINREP,,
EBA_FINREP_EBA_F_13_03_FINREP_2017-A,F 13.03,F_13.03,F 13.03 Collateral obtained by taking possession [tangible assets] accumulated,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_14_00_FINREP,F 14.00,F_14.00,F 14.00 Fair value hierarchy: financial instruments at fair value,EBA,FINREP,,
EBA_FINREP_EBA_F_14_00_FINREP_2017-A,F 14.00,F_14.00,F 14.00 Fair value hierarchy: financial instruments at fair value,EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_14_00_FINREP_3_0-Ind,F 14.00,F_14.00,F 14.00 Fair value hierarchy: financial instruments at fair value,EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_15_00_a_FINREP_2016-A,F 15.00.a,F_15.00.a,F 15.00.a Financial assets pledged as collateral: derecognition and financial liabilities associated with transferred financial assets (a),EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_15_00_a_FINREP_2017-A,F 15.00.a,F_15.00.a,"F 15.00.a Derecognition and financial liabilities associated with transferred financial assets: Equity instruments, debt securities, loans and advances",EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_15_00_a_FINREP_3_0-Ind,F 15.00.a,F_15.00.a,"F 15.00.a Derecognition and financial liabilities associated with transferred financial assets: Equity instruments, debt securities, loans and advances",EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_15_00_b_FINREP_2016-A,F 15.00.b,F_15.00.b,F 15.00.b Financial assets pledged as collateral: derecognition and financial liabilities associated with transferred financial assets (b),EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_15_00_b_FINREP_2017-A,F 15.00.b,F_15.00.b,"F 15.00.b Derecognition and financial liabilities associated with transferred financial assets: Derivatives, Deposits, Debt securities issued, Other financial liabilities",EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_15_00_b_FINREP_3_0-Ind,F 15.00.b,F_15.00.b,"F 15.00.b Derecognition and financial liabilities associated with transferred financial assets: Derivatives, Deposits, Debt securities issued, Other financial liabilities",EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_16_01_FINREP_2017-A,F 16.01,F_16.01,F 16.01 Breakdown of selected statement of profit or loss items: Interest income and expenses by instrument and counterparty sector (a),EBA,FINREP 2017-A,,
EBA_FINREP_EBA_F_16_01_FINREP_2_9,F 16.01,F_16.01,F 16.01 Breakdown of selected statement of profit or loss items: Interest income and expenses by instrument and counterparty sector(a),EBA,FINREP 2.9,,
EBA_FINREP_EBA_F_16_01_FINREP_3_0-Ind,F 16.01,F_16.01,F 16.01 Breakdown of selected statement of profit or loss items: Interest income and expenses by instrument and counterparty sector(a),EBA,FINREP 3.0-Ind,,
EBA_FINREP_EBA_F_16_01_a_FINREP_2016-A,F 16.01.a,F_16.01.a,F 16.01.a Interest income and expenses by instrument and counterparty (a),EBA,FINREP 2016-A,,
EBA_FINREP_EBA_F_16_01_b_FINREP,F 16.01.b,F_16.01.b,F 16.01.b Interest income and expenses by instrument and counterparty (b),EBA,FINREP,,
